,ts_code,cluster_id
1247,2835,67
1859,300480,67
774,2338,67
2161,300797,67
1498,300112,67
706,2270,68
1831,300452,68
1419,300030,68
1697,300314,68
836,2401,68
523,2082,69
2593,600455,70
1301,2893,70
510,2067,70
2023,300649,71
2639,600513,71
589,2150,71
1348,2951,71
870,2435,71
1114,2687,71
1873,300494,71
1669,300286,72
2141,300775,72
1334,2931,72
1196,2777,72
1901,300522,72
1882,300503,72
2061,300687,72
2002,300627,72
1286,2878,72
1482,300095,72
2536,600368,73
550,2109,73
2702,600586,73
341,862,73
2892,600804,74
961,2531,74
849,2414,74
439,1696,74
2646,600521,74
664,2226,74
580,2139,74
963,2533,74
576,2135,74
1820,300441,75
1399,300009,75
726,2290,75
593,2154,75
549,2108,75
787,2351,75
1724,300341,75
1642,300259,75
1537,300151,75
308,810,76
362,897,76
922,2489,76
2503,600327,76
1124,2697,76
1125,2698,76
1070,2641,76
568,2127,76
563,2122,76
253,718,76
1183,2763,77
1065,2636,77
181,612,77
1476,300088,78
2513,600338,78
942,2511,78
584,2145,78
2946,600867,78
2781,600681,78
1838,300459,78
807,2372,78
683,2245,79
2626,600499,79
486,2043,79
2018,300643,80
1014,2584,80
1289,2881,80
2081,300708,80
318,822,80
381,920,80
623,2184,80
1997,300622,80
146,565,80
13,19,81
2914,600829,81
539,2098,82
2605,600470,82
338,859,82
1733,300350,82
1402,300012,83
2402,600207,83
3009,600988,83
233,691,83
102,510,83
571,2130,83
1602,300219,84
948,2517,84
325,831,84
837,2402,85
654,2215,85
1082,2653,85
1132,2706,85
2988,600963,86
548,2107,86
332,848,86
2411,600217,87
880,2445,87
2779,600678,87
12,17,87
2920,600836,87
2448,600261,87
2427,600234,87
1811,300432,88
2167,300803,88
2186,300824,88
1919,300541,88
1500,300114,88
2143,300777,88
560,2119,89
1170,2749,89
2941,600862,89
1783,300403,89
660,2222,89
447,2003,89
3118,688278,89
1035,2606,89
1832,300453,89
983,2553,90
577,2136,90
116,529,90
1215,2799,90
1740,300357,90
1515,300129,90
1626,300243,90
1780,300400,90
204,650,90
2955,600876,91
2078,300705,91
154,576,91
1795,300415,91
2986,600961,92
85,422,92
2559,600395,92
1317,2911,92
969,2539,92
696,2259,93
2507,600331,93
603,2164,93
512,2069,93
748,2312,93
2724,600610,93
554,2113,93
1840,300461,93
546,2105,93
1770,300390,93
1250,2838,94
597,2158,94
2228,300869,94
1245,2832,94
314,818,94
2731,600618,94
2374,600173,94
1710,300327,94
1219,2803,94
920,2487,94
1175,2755,95
1365,2973,95
1386,2996,95
2117,300748,95
1921,300543,96
1105,2677,96
2902,600817,96
693,2255,96
2368,600167,96
655,2216,96
1590,300206,96
2890,600802,96
2826,600731,96
1907,300529,97
1268,2859,97
1347,2950,97
964,2534,97
698,2262,97
653,2214,97
1370,2979,97
399,949,98
2110,300740,98
842,2407,98
1193,2774,98
877,2442,98
1796,300416,98
2065,300691,98
434,993,98
608,2169,98
1507,300121,99
1963,300587,99
1310,2903,99
903,2469,99
1969,300593,99
916,2483,99
1839,300460,99
2967,600889,99
2706,600590,99
2079,300706,100
3181,688579,100
1163,2741,100
781,2345,100
957,2527,100
1926,300549,100
2638,600512,101
2688,600571,101
2094,300722,101
1486,300099,101
1980,300604,101
2265,600035,101
1604,300221,101
1184,2765,101
1623,300240,101
2875,600784,101
232,690,102
262,729,102
2457,600273,102
294,791,102
2565,600403,102
448,2004,102
2923,600841,103
985,2555,103
2432,600239,103
538,2097,103
507,2064,103
2340,600132,104
680,2242,104
2870,600779,104
270,739,104
1699,300316,104
237,698,104
2687,600570,104
2725,600611,105
342,863,105
2767,600662,105
1341,2941,105
395,936,105
1874,300495,106
581,2140,106
899,2465,106
1519,300133,106
895,2461,106
2900,600814,106
690,2252,106
2719,600604,106
2440,600251,107
1773,300393,107
1018,2588,107
712,2276,107
2718,600603,108
869,2434,108
754,2318,108
2377,600178,108
2951,600872,108
463,2020,108
630,2191,108
2383,600185,109
2307,600095,109
574,2133,109
2770,600665,109
2657,600533,109
1405,300015,110
277,758,110
289,785,110
2562,600398,110
143,560,110
470,2027,110
72,404,110
993,2563,110
2735,600622,110
1099,2670,111
2557,600392,111
2482,600302,112
1539,300153,112
2926,600845,113
1533,300147,113
1053,2624,113
2929,600848,113
1393,300003,113
2306,600094,114
33,46,114
2783,600683,114
2633,600507,114
915,2482,114
2473,600291,114
2403,600208,114
2313,600101,115
800,2365,115
996,2566,115
483,2040,115
55,99,115
1817,300438,115
884,2449,115
1568,300183,115
2744,600636,115
2535,600367,116
1237,2824,116
678,2240,116
1425,300036,117
2105,300735,117
1768,300388,117
412,965,117
2382,600184,117
37,55,117
1410,300020,117
2628,600501,117
974,2544,117
1574,300190,117
1855,300476,118
2107,300737,118
1946,300569,118
723,2287,118
2598,600461,118
2592,600452,118
496,2053,118
1235,2822,119
1528,300142,119
681,2243,119
1009,2579,119
930,2497,119
1101,2672,120
364,899,120
1945,300568,120
2005,300630,121
2056,300682,121
2040,300666,121
2927,600846,121
1860,300481,121
1350,2953,121
3179,688568,121
1423,300034,121
1778,300398,121
2108,300738,122
2953,600874,122
1998,300623,122
2980,600933,122
567,2126,122
2048,300674,122
497,2054,123
81,417,123
1937,300560,123
1640,300257,123
2109,300739,123
1978,300602,123
213,665,124
174,605,125
2748,600640,125
704,2268,125
1509,300123,125
3074,688106,125
82,419,125
1835,300456,125
1446,300057,125
588,2149,125
2279,600059,125
2207,300847,126
1681,300298,126
1158,2735,126
2011,300636,126
135,551,126
2030,300656,126
2240,300882,126
709,2273,126
1909,300531,126
1280,2871,126
360,893,127
2086,300713,127
1075,2646,127
466,2023,127
1004,2574,127
906,2472,127
3024,688007,127
32,45,127
2843,600749,128
1220,2805,128
2296,600080,128
1243,2830,128
1601,300218,128
1927,300550,128
2010,300635,128
453,2009,128
612,2173,129
840,2405,129
2863,600771,129
1816,300437,129
767,2331,129
1484,300097,129
1968,300592,129
3001,600980,130
684,2246,130
3165,688518,130
2112,300742,130
64,159,130
2915,600830,130
2409,600215,130
731,2295,130
1516,300130,131
2610,600479,131
2187,300825,131
1151,2728,131
207,655,131
1436,300047,131
481,2038,131
1197,2778,132
2372,600171,132
2054,300680,132
1801,300421,132
1643,300260,133
2099,300727,133
949,2518,133
1752,300371,133
1743,300360,133
3072,688100,133
2075,300701,133
2067,300693,133
2238,300880,134
1826,300447,134
1249,2837,134
3183,688586,134
1668,300285,134
1430,300041,134
988,2558,134
132,547,135
1559,300174,135
1781,300401,135
1431,300042,135
1876,300497,135
1982,300606,135
1891,300512,135
1349,2952,136
2038,300664,136
1300,2892,136
2043,300669,136
1269,2860,136
1898,300519,136
2707,600592,136
1947,300570,136
1225,2811,137
991,2561,137
2062,300688,137
798,2363,137
1438,300049,137
1186,2767,137
242,705,137
1734,300351,137
385,925,138
1236,2823,138
2342,600135,138
1143,2719,138
811,2376,138
636,2197,138
2720,600605,138
1205,2787,138
1535,300149,139
226,681,139
1277,2868,139
1865,300486,139
2690,600573,139
1154,2731,139
2102,300731,139
1241,2828,139
1628,300245,139
644,2205,140
356,888,140
1394,300004,140
1198,2779,140
1918,300540,140
1309,2902,140
2344,600137,141
380,919,141
3045,688033,141
1506,300120,141
860,2425,141
2025,300651,141
1689,300306,142
564,2123,142
1931,300554,142
2020,300645,142
2874,600783,142
1899,300520,142
54,96,142
1233,2820,142
489,2046,142
1754,300374,143
1221,2806,143
366,901,143
1915,300537,143
1213,2796,143
1200,2781,143
1821,300442,143
2121,300752,143
2074,300700,143
2985,600960,144
3168,688521,144
1815,300436,144
1813,300434,144
727,2291,144
28,38,144
537,2096,144
1216,2800,145
1758,300378,145
1741,300358,145
2163,300799,146
2147,300781,146
3186,688596,146
1678,300295,146
2004,300629,146
148,567,147
2911,600826,147
730,2294,147
2999,600977,147
975,2545,147
734,2298,147
1444,300055,147
2742,600633,147
3065,688088,147
2764,600658,147
1902,300523,148
216,668,148
1265,2856,148
1923,300546,148
2849,600756,148
3157,688418,148
2469,600287,148
2778,600676,148
1843,300464,149
1960,300584,149
2068,300694,149
1264,2855,149
2089,300717,149
1210,2792,149
2085,300712,149
3189,688600,150
2209,300849,150
309,811,150
628,2189,150
2066,300692,150
1864,300485,150
3012,600992,150
1810,300430,151
1887,300508,151
1895,300516,151
